NAME,MIN,FGM,FGA,FTM,FTA,3PM,3PA,PTS,OFFR,DEFR,REB,AST,TO,STL,BLK
American,UConn,Steven Enoch,69,9,22,4,7,0,1,22,10,7,17,1,8,3,2
American,UConn,Kentan Facey,121,8,15,7,9,0,0,23,8,23,31,2,4,0,7
American,UConn,Vance Jackson,139,13,41,14,21,9,30,49,6,16,22,5,5,0,0
American,UConn,Amida Brimah,166,17,27,15,28,0,0,49,13,27,40,2,9,2,22
American,UConn,Christian Vital,162,15,42,9,14,10,29,49,3,13,16,6,8,7,2
American,UConn,Alterique Gilbert,87,11,22,7,10,2,9,31,1,9,10,6,4,7,0
American,UConn,Rodney Purvis,246,27,76,12,20,13,44,79,2,27,29,22,14,6,1
American,UConn,Terry Larrier,106,21,43,8,13,4,13,54,6,14,20,7,8,1,2
American,UConn,Jalen Adams,255,53,107,12,20,8,18,126,8,27,35,38,25,9,0
American,ECU,John Whitley,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American,ECU,Michel Nzege,13,0,1,0,0,0,0,0,0,4,4,1,0,0,0
American,ECU,Addison Hill,16,1,2,0,0,0,0,2,0,2,2,0,3,0,0
American,ECU,Justice Obasohan,3,1,1,0,0,0,0,2,1,1,2,0,0,0,0
American,ECU,Jabari Craig,107,2,13,10,15,0,0,14,21,18,39,2,8,5,10
American,ECU,Deng Riak,170,10,30,4,6,0,6,24,9,34,43,2,16,5,4
American,ECU,Raquan Wilkins,108,10,26,6,8,3,10,29,4,15,19,2,9,3,0
American,ECU,Elijah Hughes,28,4,11,0,1,2,7,10,0,5,5,3,1,0,0
American,ECU,Clarence Williams,196,21,47,13,18,3,6,58,15,28,43,6,24,7,4
American,ECU,Jeremy Sheppard,96,14,28,4,9,7,18,39,1,10,11,19,7,3,0
American,ECU,Andre Washington,226,33,48,22,44,0,0,88,29,47,76,8,11,6,24
American,ECU,Kentrell Barkley,289,39,86,28,44,7,27,113,13,49,62,35,26,7,6
American,ECU,B.J. Tyson,280,45,113,29,40,7,28,126,1,26,27,33,24,14,1
American,ECU,Caleb White,267,41,87,13,17,25,49,120,6,25,31,12,12,3,0
American,Houston,Mateen Hirbod,8,1,2,1,1,0,0,3,0,0,0,1,1,0,0
American,Houston,Bertrand Nkali,58,2,6,2,4,0,0,6,6,12,18,0,2,0,7
American,Houston,Xavier Dupree,36,4,10,0,0,1,4,9,1,11,12,3,2,4,3
American,Houston,Kyle Meyer,82,10,20,3,5,1,6,24,11,7,18,3,6,0,3
American,Houston,Morris Dunnigan,71,11,30,5,7,2,10,29,1,8,9,1,1,0,0
American,Houston,Galen Robinson Jr.,192,14,30,4,8,0,2,32,2,19,21,42,16,1,0
American,Houston,Armoni Brooks,73,14,25,2,2,9,16,39,4,10,14,1,0,1,0
American,Houston,Wes VanBeck,154,18,36,14,18,11,19,61,3,12,15,21,7,4,2
American,Houston,Danrad Knowles,157,28,47,15,21,0,1,71,13,18,31,2,6,0,4
American,Houston,Devin Davis,165,36,71,16,30,1,3,89,20,32,52,10,14,6,3
American,Houston,Damyean Dotson,199,37,70,3,4,20,37,97,13,29,42,7,9,6,1
American,Houston,Rob Gray Jr.,205,46,89,30,36,14,31,136,6,15,21,24,9,10,0
American,Memphis,Jake McDowell,31,1,5,0,0,0,0,2,2,2,4,0,0,1,0
American,Memphis,Alex Moffatt,9,1,3,0,0,0,2,2,0,1,1,0,2,0,0
American,Memphis,Kaleb Castro,4,1,1,0,0,1,1,3,0,1,1,0,0,0,0
American,Memphis,Jonathan Bins,6,1,3,0,0,1,2,3,1,0,1,1,1,0,0
